001*;USA oder Kanada
001242*;Bahamas
001246*;Barbados
001264*;Anguilla
001268*;Antigua und Barbuda
001284*;Britische Jungferninseln
001340*;Amerikanische Jungferninseln
001345*;Cayman-Inseln
001441*;Bermudas
001473*;Grenada
001649*;Turks und Caicos-Inseln
001664*;Montserrat
001670*;Marianen
001671*;Guam
001684*;Amerikanisch-Samoa
001721*;Sint Maarten
001758*;St. Lucia
001767*;Dominica
001784*;St. Vincent und die Grenadinen
001787*;Puerto Rico
001809*;Dominikanische Republik
001829*;Dominikanische Republik
001849*;Dominikanische Republik
001868*;Trinidad und Tobago
001869*;St. Kitts und Nevis
001876*;Jamaika
001939*;Puerto Rico
0020*;Ägypten
00211*;Südsudan
00212*;Marokko
00213*;Algerien
00216*;Tunesien
00218*;Libyen
00220*;Gambia
00221*;Senegal
00222*;Mauretanien
00223*;Mali
00224*;Guinea
00225*;Elfenbeinküste
00226*;Burkina Faso
00227*;Niger
00228*;Togo
00229*;Benin
00230*;Mauritius
00231*;Liberia
00232*;Sierra Leone
00233*;Ghana
00234*;Nigeria
00235*;Tschad
00236*;Zentralafrikanische Republik
00237*;Kamerun
00238*;Kapverdische Inseln
00239*;São Tomé und Principe
00240*;Äquatorial-Guinea
00241*;Gabun
00242*;Kongo, Republik 
00243*;Kongo, Demokratische Republik
00244*;Angola
00245*;Guinea-Bissau
00246*;Diego Garcia
00247*;Ascension
00248*;Seychellen
00249*;Sudan
00250*;Rwanda
00251*;Äthiopien
00252*;Somalia
00253*;Djibouti
00254*;Kenia
00255*;Tansania
00256*;Uganda
00257*;Burundi
00258*;Mosambik
00260*;Sambia
00261*;Madagaskar
00262*;Mayotte oder Réunion
00263*;Simbabwe
00264*;Namibia
00265*;Malawi
00266*;Lesotho
00267*;Botswana
00268*;Swasiland
00269*;Komoren
0027*;Südafrika
00290*;St. Helena, Ascension und Tristan da Cunha
00291*;Eritrea
00297*;Aruba
00298*;Färöer
00299*;Grönland
0030*;Griechenland
0031*;Niederlande
0032*;Belgien
0033*;Frankreich
0034*;Spanien
00350*;Gibraltar
00351*;Portugal
00352*;Luxemburg
00353*;Irland
00354*;Island
00355*;Albanien
00356*;Malta
00357*;Zypern
00358*;Finnland
00359*;Bulgarien
0036*;Ungarn
00370*;Litauen
00371*;Lettland
00372*;Estland
00373*;Moldawien
00374*;Armenien
00375*;Weissrussland
00376*;Andorra
00377*;Monaco
00378*;San Marino
00380*;Ukraine
00381*;Kosovo oder Serbien
00382*;Montenegro
00385*;Kroatien
00386*;Slowenien
00387*;Bosnien-Herzegowina
00389*;Mazedonien
0039*;Italien (inkl. Vatikan)
0040*;Rumänien
0041*;Schweiz
00420*;Tschechische Republik
00421*;Slowakische Republik
00423*;Liechtenstein
0043*;Österreich
0044*;Grossbritannien und Nordirland
0045*;Dänemark
0046*;Schweden
0047*;Norwegen
0048*;Polen
00500*;Falkland
00501*;Belize
00502*;Guatemala
00503*;El Salvador
00504*;Honduras
00505*;Nicaragua
00506*;Costa Rica
00507*;Panama
00508*;Saint-Pierre und Miquelon
00509*;Haiti
0051*;Peru
0052*;Mexiko
0053*;Kuba
0054*;Argentinien
0055*;Brasilien
0056*;Chile
0057*;Kolumbien
0058*;Venezuela
00590*;Guadeloupe
00591*;Bolivien
00592*;Guayana
00593*;Ecuador
00594*;Französisch-Guayana
00595*;Paraguay
00596*;Martinique
00597*;Surinam
00598*;Uruguay
00599*;Curaçao oder Karibische Niederlande
0060*;Malaysia
0061*;Australien
0062*;Indonesien
0063*;Philippinen
0064*;Neuseeland
0065*;Singapur
0066*;Thailand
00670*;Osttimor
00672*;Antarktis oder Norfolk
00673*;Brunei
00674*;Nauru
00675*;Papua-Neuguinea
00676*;Tonga
00677*;Salomon
00679*;Fidschi
00680*;Palau
00681*;Wallis und Futuna
00682*;Cook
00683*;Niue
00685*;Samoa
00686*;Kiribati
00687*;Neukaledonien
00688*;Tuvalu
00689*;Französisch-Polynesien
00690*;Tokelau
00691*;Mikronesien
00692*;Marshall-Inseln
007*;Russische Föderation oder Kasachstan
0081*;Japan
0082*;Südkorea
0084*;Vietnam
00850*;Nordkorea
00852*;Hongkong
00853*;Macao
00855*;Kambodscha
00856*;Laos
0086*;China
00870*;Pitcairn
00880*;Bangladesh
00886*;Taiwan
0090*;Türkei
0091*;Indien
0092*;Pakistan
0093*;Afghanistan
0094*;Sri Lanka
0095*;Myanmar (Burma)
00960*;Malediven
00961*;Libanon
00962*;Jordanien
00963*;Syrien
00964*;Irak
00965*;Kuwait
00966*;Saudi-Arabien
00967*;Jemen
00968*;Oman
00970*;Palästinensische Autonomiegebiete
